iter	Passed	Remaining
0	0	71
1	1	61
2	1	56
3	2	50
4	2	49
5	3	48
6	3	47
7	4	46
8	4	45
9	4	44
10	5	44
11	5	43
12	6	42
13	6	41
14	7	41
15	7	40
16	8	39
17	8	39
18	9	38
19	9	38
20	9	37
21	10	36
22	10	36
23	11	35
24	11	35
25	12	34
26	12	34
27	13	33
28	13	33
29	14	32
30	14	32
31	15	33
32	16	32
33	16	32
34	16	31
35	17	31
36	17	30
37	18	30
38	18	29
39	19	29
40	19	28
41	20	27
42	20	27
43	20	26
44	21	26
45	21	25
46	22	25
47	22	24
48	23	24
49	23	23
50	24	23
51	24	22
52	25	22
53	25	21
54	25	21
55	26	20
56	26	20
57	27	19
58	27	19
59	28	18
60	28	18
61	29	18
62	29	17
63	30	17
64	30	16
65	31	16
66	31	15
67	32	15
68	32	14
69	33	14
70	33	13
71	34	13
72	34	12
73	35	12
74	35	11
75	35	11
76	36	10
77	36	10
78	37	9
79	37	9
80	38	8
81	38	8
82	39	8
83	39	7
84	40	7
85	40	6
86	41	6
87	41	5
88	42	5
89	42	4
90	43	4
91	43	3
92	44	3
93	44	2
94	44	2
95	45	1
96	45	1
97	46	0
98	46	0
99	47	0
